CustomerID,Age,Annual Income (k$),Spending Score (1-100),Gender
1,56,96,61,Female
2,69,77,77,Female
3,46,119,51,Female
4,32,71,50,Male
5,60,150,19,Female
6,25,76,1,Female
7,38,31,40,Male
8,56,80,32,Female
9,36,20,22,Male
10,40,72,93,Female
11,28,83,66,Male
12,28,76,40,Male
13,41,96,38,Female
14,70,85,48,Male
15,53,145,55,Female
16,57,24,75,Male
17,41,112,81,Male
18,20,103,55,Female
19,39,49,51,Male
20,70,16,60,Female
21,19,138,8,Male
22,41,38,86,Male
23,61,88,68,Female
24,47,36,75,Female
25,55,53,72,Male
26,19,34,9,Female
27,38,55,90,Female
28,50,122,2,Male
29,29,98,80,Male
30,39,125,95,Female
31,61,80,70,Male
32,42,67,85,Female
33,66,48,90,Female
34,44,81,59,Female
35,59,148,19,Female
36,45,41,28,Female
37,33,24,72,Female
38,32,87,14,Male
39,64,110,24,Female
40,68,62,44,Male
41,61,84,56,Female
42,69,114,90,Male
43,20,73,95,Male
44,54,16,51,Male
45,68,79,32,Female
46,24,97,50,Male
47,38,24,41,Male
48,26,67,66,Female
49,56,93,25,Male
50,35,73,61,Male
51,21,62,66,Female
52,42,137,42,Male
53,31,36,65,Male
54,67,114,36,Female
55,26,112,76,Male
56,43,39,9,Male
57,70,42,36,Male
58,19,127,92,Male
59,37,59,38,Female
60,45,82,33,Female
61,64,21,42,Female
62,24,63,61,Female
63,61,97,46,Male
64,25,143,86,Female
65,64,87,89,Female
66,52,60,61,Male
67,31,120,18,Male
68,34,46,70,Male
69,53,20,82,Female
70,67,88,80,Male
71,57,128,15,Male
72,21,41,48,Male
73,19,68,72,Female
74,23,99,13,Female
75,59,141,43,Female
76,21,125,60,Female
77,46,29,57,Female
78,35,146,71,Female
79,43,107,17,Female
80,61,137,50,Male
81,51,87,32,Male
82,27,106,22,Male
83,53,31,55,Female
84,31,57,57,Female
85,48,135,13,Male
86,65,55,47,Male
87,32,53,87,Female
88,25,127,62,Female
89,31,125,54,Female
90,40,61,29,Female
91,57,77,22,Female
92,38,124,65,Female
93,33,83,29,Female
94,62,57,48,Female
95,35,48,5,Male
96,64,54,35,Female
97,70,75,74,Female
98,41,76,83,Female
99,43,72,71,Male
100,42,89,46,Male
101,62,30,35,Female
102,58,96,45,Male
103,46,108,13,Male
104,32,62,10,Male
105,62,96,66,Female
106,18,52,70,Female
107,42,141,72,Female
108,24,33,100,Female
109,26,77,25,Female
110,41,91,44,Female
111,18,145,60,Female
112,61,116,47,Male
113,25,79,40,Female
114,41,134,7,Female
115,28,105,46,Female
116,68,22,23,Female
117,34,87,83,Female
118,25,148,46,Female
119,52,121,86,Female
120,52,103,13,Female
121,50,53,21,Male
122,22,127,1,Male
123,59,42,19,Female
124,56,111,60,Female
125,58,51,33,Male
126,45,96,4,Female
127,24,70,3,Female
128,26,99,91,Male
129,25,16,52,Female
130,29,72,99,Female
131,51,121,28,Female
132,50,137,70,Male
133,65,128,70,Male
134,40,121,55,Female
135,41,51,57,Male
136,54,93,87,Male
137,52,106,97,Male
138,61,32,16,Female
139,57,112,24,Male
140,39,77,69,Male
141,44,18,41,Male
142,52,149,77,Female
143,18,75,47,Male
144,52,121,76,Male
145,54,68,69,Female
146,64,102,31,Male
147,31,82,92,Male
148,20,143,92,Male
149,18,69,30,Female
150,22,17,18,Female
151,43,135,44,Male
152,31,143,27,Male
153,56,116,99,Male
154,44,52,26,Male
155,26,99,60,Male
156,32,147,18,Male
157,32,106,97,Female
158,43,35,89,Male
159,59,123,56,Male
160,30,61,31,Male
161,68,98,59,Female
162,49,97,2,Male
163,56,49,97,Female
164,66,83,39,Male
165,69,143,61,Male
166,49,41,63,Male
167,21,70,96,Male
168,47,37,18,Male
169,54,35,17,Male
170,40,75,98,Female
171,56,77,39,Male
172,62,136,71,Male
173,32,66,54,Male
174,60,102,99,Female
175,46,69,94,Male
176,53,60,76,Female
177,30,46,35,Male
178,49,69,11,Male
179,24,110,61,Female
180,68,147,44,Female
181,39,50,68,Male
182,45,124,25,Female
183,19,120,48,Female
184,59,72,32,Male
185,62,53,84,Male
186,70,94,95,Male
187,23,111,4,Female
188,45,127,38,Male
189,45,75,63,Male
190,61,20,47,Female
191,61,123,1,Female
192,37,49,3,Male
193,47,53,86,Female
194,28,132,62,Female
195,45,19,64,Female
196,42,101,17,Male
197,56,90,78,Male
198,50,71,62,Male
199,18,141,35,Female
200,44,43,13,Male
201,69,101,35,Male
202,30,60,43,Female
203,58,130,2,Female
204,20,126,56,Male
205,56,59,77,Female
206,23,118,51,Male
207,25,99,54,Male
208,44,148,16,Male
209,26,122,18,Female
210,54,32,7,Female
211,50,108,45,Male
212,68,47,36,Male
213,59,140,41,Male
214,61,136,94,Male
215,41,129,42,Female
216,32,42,7,Male
217,49,25,15,Male
218,49,61,60,Female
219,41,141,40,Male
220,58,132,83,Male
221,69,140,37,Male
222,66,86,66,Male
223,66,121,55,Male
224,69,47,77,Female
225,29,33,95,Female
226,56,88,80,Female
227,19,112,56,Female
228,20,143,44,Male
229,66,107,57,Female
230,54,62,6,Female
231,66,78,92,Female
232,34,75,32,Female
233,66,53,74,Female
234,19,142,18,Female
235,19,102,68,Female
236,45,40,73,Female
237,40,31,7,Male
238,54,85,8,Female
239,49,27,64,Male
240,50,83,7,Female
241,18,40,41,Female
242,36,63,40,Female
243,19,21,3,Male
244,70,72,17,Male
245,61,63,66,Female
246,43,117,79,Male
247,49,67,93,Female
248,23,76,52,Male
249,49,31,22,Male
250,21,39,4,Male
251,28,145,6,Female
252,34,43,38,Male
253,55,131,26,Male
254,41,40,11,Female
255,22,138,90,Male
256,69,39,17,Female
257,51,68,88,Female
258,23,87,92,Male
259,39,134,99,Female
260,28,70,31,Male
261,65,79,77,Male
262,33,107,35,Female
263,50,100,16,Male
264,26,94,79,Male
265,23,122,18,Female
266,33,132,62,Female
267,46,97,27,Male
268,20,29,35,Female
269,37,145,45,Female
270,53,44,35,Female
271,36,71,28,Female
272,43,142,9,Male
273,20,62,76,Male
274,36,150,15,Female
275,37,36,21,Male
276,49,20,52,Female
277,24,118,35,Female
278,69,50,97,Male
279,58,93,51,Male
280,50,130,83,Male
281,57,71,55,Male
282,56,63,87,Female
283,35,96,77,Female
284,57,80,44,Male
285,18,91,65,Female
286,28,59,93,Male
287,45,93,88,Male
288,42,34,80,Male
289,67,137,25,Female
290,40,81,87,Female
291,48,97,92,Male
292,47,17,47,Male
293,59,78,80,Male
294,52,54,56,Male
295,24,73,38,Female
296,33,76,11,Female
297,43,146,67,Male
298,65,74,15,Male
299,69,130,1,Female
300,66,89,7,Male
301,19,136,1,Female
302,18,121,49,Female
303,65,110,96,Male
304,29,105,73,Female
305,22,144,29,Female
306,54,76,26,Female
307,49,63,87,Female
308,26,106,45,Male
309,58,138,93,Female
310,52,75,97,Female
311,36,62,71,Female
312,65,150,12,Male
313,33,72,95,Male
314,20,115,32,Male
315,37,126,20,Female
316,41,76,51,Male
317,50,53,81,Male
318,41,72,36,Male
319,69,113,67,Female
320,28,58,1,Male
321,66,43,27,Male
322,25,73,40,Male
323,53,85,97,Female
324,55,106,84,Female
325,57,23,14,Male
326,37,141,100,Male
327,52,148,69,Male
328,65,145,87,Female
329,42,35,79,Female
330,52,78,6,Male
331,42,104,33,Female
332,46,50,55,Male
333,35,76,19,Female
334,63,90,77,Male
335,35,27,29,Female
336,19,25,61,Male
337,52,68,70,Female
338,33,30,79,Male
339,58,22,80,Male
340,53,118,24,Male
341,50,73,23,Male
342,21,71,10,Female
343,50,54,54,Male
344,31,144,41,Female
345,38,108,49,Female
346,65,58,17,Male
347,37,94,56,Male
348,25,95,45,Male
349,24,16,30,Male
350,20,129,44,Female
351,34,104,74,Female
352,50,37,55,Female
353,65,76,19,Female
354,29,127,29,Male
355,68,142,2,Female
356,39,76,36,Male
357,39,52,19,Male
358,63,75,7,Female
359,47,143,26,Female
360,55,136,79,Female
361,55,124,38,Female
362,62,27,3,Female
363,68,114,80,Female
364,25,149,66,Male
365,44,36,95,Male
366,44,88,92,Male
367,51,146,71,Female
368,38,37,94,Male
369,47,133,43,Male
370,50,84,62,Male
371,45,98,71,Male
372,64,115,100,Male
373,50,98,93,Male
374,22,42,24,Female
375,65,150,39,Female
376,36,15,68,Female
377,21,77,93,Male
378,52,36,44,Female
379,66,84,5,Female
380,34,139,55,Male
381,61,110,93,Female
382,45,93,30,Male
383,47,19,29,Female
384,46,74,26,Male
385,63,134,83,Male
386,70,60,26,Female
387,23,148,37,Male
388,52,70,91,Female
389,58,124,94,Male
390,54,118,53,Female
391,41,91,30,Female
392,46,16,3,Male
393,66,22,43,Female
394,63,89,7,Female
395,70,139,49,Female
396,48,52,73,Male
397,52,41,41,Male
398,50,34,77,Female
399,69,57,79,Female
400,38,45,54,Male
401,49,105,69,Male
402,40,75,93,Female
403,50,123,99,Male
404,20,105,91,Male
405,35,109,27,Female
406,42,27,8,Male
407,59,127,32,Male
408,48,49,84,Male
409,20,62,64,Female
410,57,49,10,Male
411,63,100,13,Female
412,41,128,63,Male
413,67,114,93,Male
414,49,113,35,Female
415,64,17,61,Female
416,39,99,54,Female
417,40,139,8,Female
418,19,97,29,Male
419,44,39,95,Female
420,59,82,41,Female
421,19,75,30,Female
422,43,43,86,Male
423,34,141,21,Male
424,57,33,76,Female
425,50,88,11,Female
426,26,75,2,Female
427,60,34,50,Female
428,65,62,41,Male
429,56,101,66,Female
430,46,124,98,Male
431,59,42,3,Female
432,43,73,80,Female
433,52,147,51,Male
434,67,65,68,Female
435,42,26,87,Female
436,41,64,84,Female
437,30,146,25,Female
438,24,127,30,Male
439,53,28,82,Female
440,62,46,11,Female
441,37,69,93,Male
442,18,134,17,Female
443,25,89,26,Male
444,63,35,23,Female
445,33,147,56,Female
446,31,101,52,Female
447,29,73,48,Male
448,68,103,20,Male
449,40,97,2,Female
450,32,79,88,Male
451,45,78,31,Female
452,51,85,27,Male
453,19,18,2,Female
454,49,118,78,Male
455,40,107,4,Female
456,39,126,13,Male
457,68,133,100,Male
458,42,73,35,Male
459,39,57,72,Male
460,39,26,66,Female
461,66,54,6,Female
462,69,132,31,Male
463,59,34,10,Female
464,23,145,21,Male
